"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\dto\update-info-dato.dto.ts", "TypeScript", 3, 0, 2, 5
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\entities\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\entities\info-dato.entity.ts", "TypeScript", 15, 0, 6, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\entities\update.info.dato.entity.ts", "TypeScript", 2, 0, 2, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\info-dato.controller.ts", "TypeScript", 104, 1, 8, 113
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\info-dato.module.ts", "TypeScript", 8, 0, 2, 10
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\info-dato.service.ts", "TypeScript", 58, 0, 9, 67
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\interfaces\index.ts", "TypeScript", 1, 0, 0, 1
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\interfaces\info.dato.interface.ts", "TypeScript", 6, 0, 1, 7
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\spec\info-dato.controller.spec.ts", "TypeScript", 16, 0, 5, 21
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\info-dato\spec\info-dato.service.spec.ts", "TypeScript", 14, 0, 5, 19
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\dto\create-inspector.dto.ts", "TypeScript", 22, 3, 5, 30
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\dto\index.ts", "TypeScript", 3, 0, 1, 4
"c:\Users\INNOVACIÓN\Documents\JhonM\Archivos de Backend - COOMUVEMAR\backend-\src\inspector\dto\inspectorproductor.dto.ts", "TypeScript", 16, 0, 4, 20
